,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,category
TCP11X2,2.713131067266548,-1.037311983963438,0.3242976717654182,-3.1986414774934957,0.0013807676493241352,0.025878084485421997,Downregulated
TFPI2,3.4594728974708775,-1.2197001705260206,0.31962086524553907,-3.816084314736533,0.0001355861902067789,0.007945681444142138,Downregulated
TH,3.8028125085723214,-1.6306035092365214,0.32007049980573693,-5.0945135844327964,3.496377656091664e-07,0.00038052878637782574,Downregulated
TMEM92-AS1,2.921120524432899,-1.0047313201784775,0.3536189366827349,-2.841282567058667,0.004493248049932175,0.04832554650658924,Downregulated
TNF,2.041475862441498,-1.2724485379012818,0.41457143583820855,-3.0693106854517347,0.00214553338975257,0.032182076006630714,Downregulated
TNFRSF9,0.8634257216187621,-1.3580130373064698,0.33258360946106763,-4.083222981153674,4.441536769779595e-05,0.004446533498645597,Downregulated
TPH1,6.784539950042888,-1.040058046043818,0.2315219684863124,-4.492265044408978,7.046964489994654e-06,0.0017886416327921987,Downregulated
TPSD1,3.637810631243669,-1.068348742752733,0.3575171200555089,-2.9882449897416348,0.0028058454162877174,0.037406790109295616,Downregulated
TREML2,1.1691438956637399,-1.9813176437773174,0.4979759256767493,-3.978741825891898,6.928092141498264e-05,0.005551757908866463,Downregulated
TRIM73,8.069840075884393,-1.0119946476380939,0.2476424436450502,-4.086515351498476,4.379005239191584e-05,0.004439424425403214,Downregulated
TSPEAR-AS1,2.593297621512273,-1.106288253678244,0.30198990249053154,-3.6633286230917275,0.0002489588048655387,0.011001226409154772,Downregulated
UPB1,5.424934507668312,-1.084274761352475,0.24900476101591765,-4.354433854713174,1.3341125491462126e-05,0.0025643777774668843,Downregulated
VENTX,4.713620877176433,-1.1081132935828895,0.36029783396230886,-3.0755480303520515,0.0021011608358555665,0.03179130441001366,Downregulated
VWA5B1,8.90479500257649,-1.4819285662838408,0.30808416566253516,-4.8101419399369405,1.508231547191674e-06,0.0008292869584492095,Downregulated
WTAPP1,0.754972521091704,-1.7157903153360132,0.4670778562721745,-3.6734567744872755,0.00023929117201687146,0.010827587551882054,Downregulated
XKR5,1.3452238404050751,-1.3602611780371487,0.37292993406461655,-3.6474979715665845,0.00026480640139204967,0.011463970101345545,Downregulated
ZDHHC19,5.376014635353368,-1.008427804589265,0.24598356040079267,-4.099573983505994,4.139113415837967e-05,0.00434281563503663,Downregulated
ZNF645,0.9849455809503606,-1.7465189404635895,0.4475652141610092,-3.9022669439079523,9.52959769722304e-05,0.006598491177843746,Downregulated
