,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
MAP3K15,6.3169588920515105,-1.0735078041475818,0.21810215877757694,-4.922041167150286,8.564619141448254e-07,0.0005879488688902205,blue
KRTAP5-8,3.367261469534293,-1.0755144388321942,0.278484394816436,-3.862027671392947,0.0001124498260066347,0.007204885251897098,blue
GOLGA6L17P,2.429993214677231,-1.0783439176613994,0.36555654326371606,-2.9498690080441854,0.003179086844258512,0.03982477560323215,blue
BEAN1-AS1,8.019163736022506,-1.081034052577673,0.26763366073764683,-4.039230527274287,5.362683926596784e-05,0.004798641196731674,blue
LEFTY2,1.3311167703436373,-1.0820995763068288,0.37327330839395767,-2.8989471038330077,0.003744180551944298,0.043713035044492546,blue
UPB1,5.424934507668312,-1.084274761352475,0.24900476101591765,-4.354433854713174,1.3341125491462126e-05,0.0025643777774668843,blue
CYP2D6,3.486823985114928,-1.0989422706206058,0.329366284666223,-3.336535406877679,0.0008482962259221804,0.020380230221639296,blue
ANKRD20A19P,10.843610341134216,-1.1037177533181601,0.3514793291465736,-3.140206725664623,0.0016882865326730383,0.02872837147346678,blue
TSPEAR-AS1,2.593297621512273,-1.1062882536782441,0.3019899024905314,-3.6633286230917292,0.00024895880486553693,0.011001226409146978,blue
PIK3CD-AS2,1.2482694347234202,-1.1073380653803078,0.3238383311390411,-3.4194162917201685,0.000627556376290968,0.018017642836282453,blue
VENTX,4.713620877176433,-1.1081132935828915,0.36029783396230897,-3.075548030352056,0.0021011608358555344,0.031791304410013176,blue
ESPNP,6.314721010207274,-1.1094972404963563,0.2785148568500188,-3.9836195923071505,6.787349029527421e-05,0.00550944713285322,blue
PRF1,3.8588622950358213,-1.111841649584257,0.33327264992288425,-3.3361322924084087,0.0008495272759696039,0.020380230221639296,blue
FOXE3,1.8978247936740238,-1.115837753634021,0.3136915560530404,-3.557117595621063,0.00037494633786613754,0.013906839950546802,blue
LOC339685,8.87244935583106,-1.116036752321152,0.33073957573904267,-3.3743671280564196,0.0007398562356395093,0.01896126644577528,blue
LOC101928882,3.1358001574009506,-1.1171953509244923,0.3881255234335364,-2.8784382460634634,0.0039964951796346,0.04523849556139806,blue
GPR84,9.993707158757518,-1.1175483661986352,0.33725869508551215,-3.3136235847537754,0.0009209539765808141,0.021154647414251646,blue
IGFALS,8.747171343060494,-1.117870590710569,0.22248139079926568,-5.024557724556703,5.045940171061251e-07,0.0004041293483002956,blue
POU2F3,1.1614053153998176,-1.1250388142650267,0.3863674477639292,-2.911836441646674,0.003593107243831007,0.04269613637365361,blue
LINC01879,1.3468310476515724,-1.125249097178155,0.39206987780742714,-2.8700218019065553,0.004104434980493464,0.04595411782373837,blue
KHDC3L,1.2818829995564887,-1.138587079050743,0.385612371244592,-2.9526725902902706,0.0031503590596449285,0.03961364563929303,blue
SPATA21,2.3075519218317164,-1.1388125400299296,0.38273714450723134,-2.9754429544488934,0.002925657583460754,0.03818218621924661,blue
SCUBE1,18.019852143126855,-1.1410258212850772,0.2526768047070252,-4.515752138816536,6.309242647231803e-06,0.0017424387710923968,blue
DOK7,9.292648668522817,-1.146028190158564,0.21241571199986686,-5.3952138444414235,6.844198925747092e-08,0.0001827172973210282,blue
IP6K3,147.002511736149,1.146168371378033,0.32667565823769384,3.508582113406395,0.0004505021424438194,0.015463164252139498,red
DNAJB8-AS1,1.3568767957018855,-1.1462322278017034,0.35729669522600804,-3.2080683731951516,0.0013362972546861035,0.0254884150588092,blue
NTRK1,4.000844697545452,-1.1514415382007794,0.26302187931472726,-4.377740518015937,1.1991599598587189e-05,0.0024838117547866757,blue
ARAP3,132.35407468955196,-1.157553206870219,0.21301537540713247,-5.4341298352656855,5.506447741452052e-08,0.0001812300696396716,blue
LOC729815,6.951628586562203,-1.1586723236068837,0.30200938863611143,-3.8365440519564706,0.00012477782242720714,0.007551729822313617,blue
SNORD115-24,1.7081258314362964,-1.1612005960147203,0.36056846484997396,-3.220471863777313,0.0012797975462859482,0.024889291169357706,blue
NANOG,1.7441914072724378,-1.166913858219584,0.36375176597104864,-3.2079950322838013,0.001336638072755633,0.0254884150588092,blue
MIR6855,0.7957545041169811,-1.1686832738270068,0.4062398257914012,-2.876830875826316,0.004016908217901684,0.04533313938540336,blue
KRTAP5-9,4.420887360185856,-1.176011294543503,0.2541972300293601,-4.6263733653103625,3.7212421566089816e-06,0.0013221852207792927,blue
SLC6A5,2.1087476730228896,-1.1778504176382967,0.41552940340323513,-2.8345777891806496,0.004588628504542015,0.04904402894956895,blue
